source_seed_group,keyword,avg_monthly_searches,three_month_change,yoy_change,competition,competition_index,top_of_page_bid_low,top_of_page_bid_high,suggested_target_url,keep_status,status_reason,data_scope
hotel,muebles para hoteles,500,0%,0%,中,52,12.99,55.80,/hoteles/,keep,酒店项目家具相关，可进入页面映射或正文辅助词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,mobiliario hotelero,50,0%,0%,中,48,16.81,64.11,/hoteles/,keep,酒店项目家具相关，可进入页面映射或正文辅助词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,muebles hoteleros,50,0%,0%,中,38,13.65,66.91,/hoteles/,keep,酒店项目家具相关，可进入页面映射或正文辅助词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,muebles para habitaciones de hotel,50,0%,0%,中,38,9.86,39.61,/catalogo/hoteles/habitaciones/,keep,酒店项目家具相关，可进入页面映射或正文辅助词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,muebles para lobby de hotel,50,0%,0%,中,47,9.41,20.55,/catalogo/hoteles/,keep,酒店项目家具相关，可进入页面映射或正文辅助词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,mobiliario para hoteles,50,0%,0%,中,50,11.49,56.84,/hoteles/,keep,酒店项目家具相关，可进入页面映射或正文辅助词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,muebles para hotel,500,0%,0%,中,52,12.99,55.80,/hoteles/,review,需人工复核,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,muebles hotel,50,0%,0%,低,14,18.53,62.88,/hoteles/,review,需人工复核,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,sillas hoteleras,50,0%,0%,中,44,3.55,84.11,/hoteles/,review,可能是酒店家具场景词，但要避免零售单品化,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,sillas para hoteles,50,0%,0%,中,36,9.39,77.97,/hoteles/,keep,酒店项目家具相关，可进入页面映射或正文辅助词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,mobiliario de hotel,50,0%,0%,低,11,19.02,70.90,/hoteles/,review,需人工复核,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,mobiliario para hoteles y restaurantes,50,0%,0%,高,74,10.54,46.61,/catalogo/hoteles/muebles-para-restaurante/,keep,酒店项目家具相关，可进入页面映射或正文辅助词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,muebles de hotel,500,0%,0%,低,9,7.48,101.95,/hoteles/,review,需人工复核,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,mobiliario contract para hoteles,50,0%,0%,高,71,,,/hoteles/,keep,酒店项目家具相关，可进入页面映射或正文辅助词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,literas para hoteles,50,0%,0%,低,0,,,/hoteles/,keep,酒店项目家具相关，可进入页面映射或正文辅助词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,westin muebles,50,0%,0%,中,57,,,/,reject,SERP/词义偏二手、品牌、本地零售、成人/汽车旅馆或住宅零售，不适合作 Hymueble B2B 主词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,proveedores de muebles para hoteles,50,0%,0%,中,57,29.61,46.16,/hoteles/,keep,酒店项目家具相关，可进入页面映射或正文辅助词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,sofas para hoteles,50,0%,0%,高,71,9.69,40.67,/hoteles/,keep,酒店项目家具相关，可进入页面映射或正文辅助词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,armarios para hoteles,50,0%,0%,低,2,,,/catalogo/hoteles/habitaciones/,keep,酒店项目家具相关，可进入页面映射或正文辅助词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,armarios abiertos para hoteles,50,0%,0%,低,0,,,/catalogo/hoteles/habitaciones/,keep,酒店项目家具相关，可进入页面映射或正文辅助词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,proveedores de muebles para hoteles 3 estrellas,50,0%,0%,高,86,,,/hoteles/,keep,酒店项目家具相关，可进入页面映射或正文辅助词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,mueble recepcion hotel,50,0%,0%,低,1,,,/catalogo/hoteles/,keep,酒店项目家具相关，可进入页面映射或正文辅助词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,comodas habitaciones,500,0%,0%,高,95,1.11,6.83,/,reject,SERP/词义偏二手、品牌、本地零售、成人/汽车旅馆或住宅零售，不适合作 Hymueble B2B 主词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,mobiliario hotel segunda mano,50,∞,0%,中,36,,,/hoteles/,reject,SERP/词义偏二手、品牌、本地零售、成人/汽车旅馆或住宅零售，不适合作 Hymueble B2B 主词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,almacenes paris dormitorio,50,0%,0%,高,67,2.08,9.49,/,reject,SERP/词义偏二手、品牌、本地零售、成人/汽车旅馆或住宅零售，不适合作 Hymueble B2B 主词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,armarios de hotel,50,0%,0%,低,20,,,/catalogo/hoteles/habitaciones/,review,可能是酒店家具场景词，但要避免零售单品化,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,bazar de muebles hoteleros nichupte,500,0%,-90%,低,4,,,/hoteles/,reject,SERP/词义偏二手、品牌、本地零售、成人/汽车旅馆或住宅零售，不适合作 Hymueble B2B 主词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,comedor 4 sillas calabria arena,50,0%,0%,高,100,,,/,reject,SERP/词义偏二手、品牌、本地零售、成人/汽车旅馆或住宅零售，不适合作 Hymueble B2B 主词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,comoda casa bonita,50,0%,0%,高,100,0.71,4.39,/,reject,SERP/词义偏二手、品牌、本地零售、成人/汽车旅馆或住宅零售，不适合作 Hymueble B2B 主词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,cuarto con 2 camas,50,0%,0%,低,4,,,/,reject,SERP/词义偏二手、品牌、本地零售、成人/汽车旅馆或住宅零售，不适合作 Hymueble B2B 主词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,escritorios lujosos,50,-90%,-90%,高,98,5.31,26.52,/,review,可能是酒店家具场景词，但要避免零售单品化,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,escritorios para hoteles,50,0%,0%,低,28,14.03,70.96,/catalogo/hoteles/habitaciones/,keep,酒店项目家具相关，可进入页面映射或正文辅助词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,fábrica de muebles para hoteles,50,0%,0%,中,45,21.02,46.36,/hoteles/,keep,酒店项目家具相关，可进入页面映射或正文辅助词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,hoteles con sillones tantra,50,0%,0%,低,0,,,/hoteles/,reject,SERP/词义偏二手、品牌、本地零售、成人/汽车旅馆或住宅零售，不适合作 Hymueble B2B 主词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,mesas para hotel,50,0%,0%,中,46,3.11,34.05,/hoteles/,review,可能是酒店家具场景词，但要避免零售单品化,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,mobiliario contract hoteles,50,0%,0%,未知,,,,/hoteles/,keep,酒店项目家具相关，可进入页面映射或正文辅助词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,mobiliario de habitaciones de hotel,50,0%,0%,低,0,,,/catalogo/hoteles/habitaciones/,keep,酒店项目家具相关，可进入页面映射或正文辅助词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,mobiliario de hoteles,50,0%,0%,低,11,19.02,70.90,/hoteles/,keep,酒店项目家具相关，可进入页面映射或正文辅助词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,mobiliario habitacion hotel,50,0%,0%,低,18,,,/catalogo/hoteles/habitaciones/,keep,酒店项目家具相关，可进入页面映射或正文辅助词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,mobiliario para habitaciones de hotel,50,0%,0%,低,14,,,/catalogo/hoteles/habitaciones/,keep,酒店项目家具相关，可进入页面映射或正文辅助词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,mobiliario para hoteleria,50,0%,0%,中,64,26.98,112.49,/hoteles/,keep,酒店项目家具相关，可进入页面映射或正文辅助词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,mobiliario para lobby,50,0%,0%,中,44,15.84,48.35,/catalogo/hoteles/,keep,酒店项目家具相关，可进入页面映射或正文辅助词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,mobiliario para moteles,50,0%,0%,低,16,,,/,reject,SERP/词义偏二手、品牌、本地零售、成人/汽车旅馆或住宅零售，不适合作 Hymueble B2B 主词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,mobiliario recepcion hotel,50,-100%,-100%,未知,,,,/catalogo/hoteles/,keep,酒店项目家具相关，可进入页面映射或正文辅助词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,mueble de motel,500,0%,0%,低,24,,,/,reject,SERP/词义偏二手、品牌、本地零售、成人/汽车旅馆或住宅零售，不适合作 Hymueble B2B 主词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,mueble lujoso,50,0%,0%,高,87,4.24,14.96,/,reject,SERP/词义偏二手、品牌、本地零售、成人/汽车旅馆或住宅零售，不适合作 Hymueble B2B 主词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,mueble para motel,500,-90%,-90%,低,21,3.86,26.16,/,reject,SERP/词义偏二手、品牌、本地零售、成人/汽车旅馆或住宅零售，不适合作 Hymueble B2B 主词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,muebles contract hoteles,0,0%,0%,未知,,,,/hoteles/,keep,酒店项目家具相关，可进入页面映射或正文辅助词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,muebles de diseño para hoteles,0,0%,0%,未知,,,,/hoteles/,keep,酒店项目家具相关，可进入页面映射或正文辅助词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,muebles de hoteleria,50,0%,0%,低,33,,,/hoteles/,keep,酒店项目家具相关，可进入页面映射或正文辅助词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,muebles de hoteles en venta,50,∞,0%,中,57,,,/hoteles/,keep,酒店项目家具相关，可进入页面映射或正文辅助词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,muebles de hoteles usados,50,0%,0%,低,18,,,/hoteles/,reject,SERP/词义偏二手、品牌、本地零售、成人/汽车旅馆或住宅零售，不适合作 Hymueble B2B 主词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,muebles lujosos y modernos,50,0%,0%,中,63,2.88,9.37,/,reject,SERP/词义偏二手、品牌、本地零售、成人/汽车旅馆或住宅零售，不适合作 Hymueble B2B 主词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,muebles para lobby,50,0%,0%,高,81,19.23,166.12,/catalogo/hoteles/,keep,酒店项目家具相关，可进入页面映射或正文辅助词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,muebles para recepcion de hoteles,50,0%,0%,高,77,7.13,37.30,/hoteles/,keep,酒店项目家具相关，可进入页面映射或正文辅助词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,muebles usados de hoteles,50,0%,0%,低,18,,,/hoteles/,reject,SERP/词义偏二手、品牌、本地零售、成人/汽车旅馆或住宅零售，不适合作 Hymueble B2B 主词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,parís camas king,500,0%,0%,高,100,1.40,8.94,/,reject,SERP/词义偏二手、品牌、本地零售、成人/汽车旅馆或住宅零售，不适合作 Hymueble B2B 主词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,proveedores de mobiliario para hoteles,50,0%,0%,高,86,,,/hoteles/,keep,酒店项目家具相关，可进入页面映射或正文辅助词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,proveedores muebles para hoteles,0,0%,0%,未知,,,,/hoteles/,keep,酒店项目家具相关，可进入页面映射或正文辅助词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,recamaras de hoteles minimalistas,50,0%,0%,未知,,,,/hoteles/,keep,酒店项目家具相关，可进入页面映射或正文辅助词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,sillas sheraton,500,0%,0%,中,42,,,/,reject,SERP/词义偏二手、品牌、本地零售、成人/汽车旅馆或住宅零售，不适合作 Hymueble B2B 主词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,sillones de hotel,5000,0%,-90%,低,11,1.69,43.40,/hoteles/,review,可能是酒店家具场景词，但要避免零售单品化,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,sillones de hoteles de paso,50,0%,0%,低,23,,,/hoteles/,keep,酒店项目家具相关，可进入页面映射或正文辅助词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,sillones en hoteles,50,0%,0%,低,10,,,/hoteles/,keep,酒店项目家具相关，可进入页面映射或正文辅助词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,sillones hoteleros,50,0%,0%,低,21,,,/hoteles/,keep,酒店项目家具相关，可进入页面映射或正文辅助词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,sillones para habitaciones de hotel,50,∞,0%,高,100,,,/catalogo/hoteles/habitaciones/,keep,酒店项目家具相关，可进入页面映射或正文辅助词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,sillones para hotel,500,0%,0%,中,37,11.60,100.76,/hoteles/,review,可能是酒店家具场景词，但要避免零售单品化,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,sillones para motel,500,0%,0%,低,23,0.93,2.33,/,reject,SERP/词义偏二手、品牌、本地零售、成人/汽车旅馆或住宅零售，不适合作 Hymueble B2B 主词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,sofas para recepciones de hoteles,0,0%,0%,未知,,,,/hoteles/,keep,酒店项目家具相关，可进入页面映射或正文辅助词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,venta de muebles de hoteles usados,50,0%,0%,低,9,,,/hoteles/,reject,SERP/词义偏二手、品牌、本地零售、成人/汽车旅馆或住宅零售，不适合作 Hymueble B2B 主词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,venta muebles hotel,500,0%,-90%,中,43,,,/hoteles/,reject,SERP/词义偏二手、品牌、本地零售、成人/汽车旅馆或住宅零售，不适合作 Hymueble B2B 主词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,venta muebles hotel segunda mano,0,0%,0%,未知,,,,/hoteles/,reject,SERP/词义偏二手、品牌、本地零售、成人/汽车旅馆或住宅零售，不适合作 Hymueble B2B 主词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,proveedor de muebles hoteleros,, --, --,未知,,,,/hoteles/,keep,酒店项目家具相关，可进入页面映射或正文辅助词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,fabricante de muebles para hoteles,, --, --,未知,,,,/hoteles/,keep,酒店项目家具相关，可进入页面映射或正文辅助词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,muebles para restaurantes de hotel,, --, --,未知,,,,/catalogo/hoteles/muebles-para-restaurante/,keep,酒店项目家具相关，可进入页面映射或正文辅助词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,muebles para bar de hotel,, --, --,未知,,,,/catalogo/hoteles/muebles-para-bar/,keep,酒店项目家具相关，可进入页面映射或正文辅助词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,muebles para salas de conferencias,, --, --,未知,,,,/catalogo/hoteles/mobiliario-para-conferencias/,keep,酒店项目家具相关，可进入页面映射或正文辅助词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
